periodo,valor
2009,17271.34
2010,19938.6
2011,22259.91
2012,24278.35
2013,26657.54
2014,28648.74
2015,29466.85
2016,30558.75
2017,31843.95
2018,33593.82
2019,35161.7
2020,35935.69
